participant_id,beta,lambd,w_em_low,w_em_high
JZXE2,15.763278684668183,0.8797587386562307,0.7157712082410639,0.8486817284266234
U3HYL,5.280275414581296,0.8299393870285088,0.8300234280358721,0.7948191357812522
6DPYL,1.239822446582017,0.7670084563690225,0.6354695054041463,0.6015044479651995
4NDHY,15.023166842883267,0.8601907372687412,0.8600400497964796,0.7288818088626322
B466E,0.4940184172528423,0.7582531655046396,0.6105513721709386,0.6313605321429422
E6C05,2.5631293656837877,0.7611647198864322,0.46440205085812747,0.5490962563831714
F1277,3.406999936644461,0.7834267375718607,0.23946308495557284,0.4341429973844062
XHM1L,3.3188754052211116,0.7942132338835328,0.7898240599770275,0.8054883117808848
L89XW,0.6816640074501402,0.7616699025729106,0.6873749312497356,0.5910965671606194
ZJAY6,3.249213348845102,0.7901643428732801,0.504859211078889,0.3050014086076923
OP3DU,1.6625403017180738,0.753274460071215,0.5343992828150762,0.6324405690179907
DKX7L,0.6392274967959701,0.7629955951431826,0.7057889514615951,0.6160466978442941
5L2YO,0.6265534051341032,0.7599549995616557,0.6388816770588122,0.6910117102288739
TCT2Q,1.5429577318286163,0.7493731939428481,0.6460395553345478,0.6944799347214261
0GG61,2.3767531602659924,0.7836322112020433,0.6761857983784877,0.5130728827836015
66ATA,1.5025428378364774,0.7332975037126988,0.5805105166895788,0.6119863945522321
2KEQY,2.1175769312763757,0.7865340074272504,0.470272372547846,0.5754569632032377
H7XCH,0.6148854991344654,0.7755220121398531,0.6649511843191503,0.6807879653076273
CVQMQ,9.81100738715152,0.8426569508739445,0.7552260534877278,0.8282499501446249
D2297,3.0325532764294523,0.7239739726045705,0.8079929996997715,0.7544847555557884
D1A08,2.233628652862593,0.7264631680349855,0.37034919000755834,0.270043222339207
1SRXZ,3.912118385370222,0.7885364203154477,0.7697052199470914,0.8227196444433104
1GDGT,10.030175544120034,0.7469219262432196,0.6970825101169946,0.6255905370209721
QTUE2,1.4368442670609485,0.7505499668682006,0.5535910426736781,0.6644802242101562
8TCMM,0.8960406513885011,0.7645866627918021,0.5846300839295447,0.6119138014584143
9DY7I,1.9680102526383625,0.7542198936119264,0.6376492684874523,0.46392903132995966
K3F0B,2.7048556332373126,0.7112080269615482,0.23873450646177502,0.3951737477797886
35TKM,4.401235935312876,0.7812385884469164,0.7284253599069799,0.610642589403108
HKS1J,10.340103024277559,0.7299177271075059,0.6484293161814562,0.6915824603959416
O3P4O,4.9850906136416056,0.7971692878621732,0.858506042521539,0.7694972310539874
I6X0O,1.7792928378238362,0.7544995296866494,0.626162980478659,0.5686001664299142
R7EQD,3.7750641322122087,0.760188342395111,0.3263559113817331,0.6334100508606004
M8ZK6,6.466484538545948,0.8586735492489312,0.8341736584993036,0.7743254979307046
J813K,0.9332747118312287,0.7800888257207632,0.6506909411477253,0.5760176205018112
KOAT7,0.47770356421771437,0.7687289135433606,0.6248168630425777,0.6883525230891236
7Y3K3,2.7818296820754873,0.7852533331430116,0.7475258581026889,0.677629447593992
ZK3UD,1.4795894429313592,0.7340031424330086,0.5737487783311004,0.4893669458001083
DXDRP,6.364869576110267,0.8388730191890397,0.5240454657029938,0.6226954302978819
41LUV,1.232512668682712,0.7430511142673926,0.6566382841796563,0.43180067099615205
WYSEU,2.646297881111344,0.7405052248104903,0.5324762879754297,0.48435297080915696
XKY36,3.275807036825661,0.7708655853385198,0.6169317301023154,0.32117583407918787
LI66P,8.653566935617615,0.8302309227833169,0.5325453448178905,0.7297387935296769
I4039,16.37755159967415,0.8572769169980283,0.8207210272662345,0.762246564420228
9RU8K,0.364773911197232,0.7714072988475478,0.6765017560555714,0.6690301871614843
MBN2S,10.944597249447096,0.8134915470035138,0.7257039747093704,0.6378075911391171
JC446,2.540465872586159,0.794847709096899,0.4312286685019012,0.44858771166939565
S4KVU,4.443072896646487,0.7218582549666213,0.3766579597910066,0.6170290477391877
1AR3D,5.516799885151328,0.8351512243464747,0.6246879507562914,0.7932807161773417
9DB53,17.411385195974997,0.8886924219140448,0.850347991942984,0.8236615362378396
PW2SP,0.7580621789101102,0.7748989497001503,0.6274565760875941,0.5767291977655744
Q1ZIB,0.4888592056660258,0.7751142727979564,0.6823227497960004,0.6502911835066102
GWZBQ,1.1647288949546593,0.7687884859370231,0.5229908496439878,0.6748469544314711
