participant_id,beta,lambd,w_em
JZXE2,15.366070924449582,0.880015949037483,0.8173225520990685
U3HYL,5.226147656804045,0.8235529770159746,0.8607497625519083
6DPYL,1.2535474840626148,0.7622058247099415,0.6474647895506607
4NDHY,13.849960813604802,0.8646618644989406,0.8603291071538716
B466E,0.5092100108953369,0.7546202664198427,0.6640574269220718
E6C05,2.4973061186525136,0.7636176147822462,0.48413933640101775
F1277,3.3782267773968697,0.7726826011547798,0.25272367299940973
XHM1L,3.328638961123844,0.7867806517689349,0.8537955977920537
L89XW,0.6968351559395498,0.7585974269612328,0.6970714752215205
ZJAY6,3.157916200844049,0.7798002963939652,0.3518843346884599
OP3DU,1.6478969335967675,0.7534648927122942,0.6006276843128638
DKX7L,0.6761574219816339,0.7576835187609299,0.7304117327734094
5L2YO,0.6754967815473991,0.7559512151904857,0.7342814994863649
TCT2Q,1.599835728293658,0.7431084911419249,0.7280908500774039
0GG61,2.3218216403073675,0.7834531321130875,0.6224265848339361
66ATA,1.5158076736672703,0.7294794091019007,0.6138445410648766
2KEQY,2.1230831296551846,0.7819504448443367,0.5037573079306207
H7XCH,0.6769745637510838,0.7727865164678505,0.7437633111026082
CVQMQ,9.630715509472443,0.8411986533217131,0.8232769968117335
D2297,3.076245660242039,0.7154188133919112,0.84174428340886
D1A08,2.274350728310186,0.7357995989794679,0.24477796014490402
1SRXZ,4.000072640506603,0.7839236729636246,0.8575819678454568
1GDGT,9.67508037871631,0.7413548417038333,0.6846462478913128
QTUE2,1.396563873970629,0.745287117243689,0.6335449065918212
8TCMM,0.9078926838714636,0.7616200245761469,0.6233062689064909
9DY7I,1.854832627929859,0.751026411614603,0.5476015370330085
K3F0B,2.58407330222789,0.722599325216872,0.24275287582845412
35TKM,4.227935435969762,0.7683358895116839,0.7032462493390303
HKS1J,10.115073751961717,0.7261693427981043,0.6950432067025313
O3P4O,4.827580764283813,0.794730869005835,0.8764578729289668
I6X0O,1.7859859680117627,0.7511152817763765,0.615038352310431
R7EQD,3.4923092559913727,0.7548938759166217,0.4789522538613492
M8ZK6,6.347413246895131,0.8564535515936434,0.8573321374927515
J813K,0.9429200313019471,0.7793063664255864,0.6496618913698051
KOAT7,0.5088905577563689,0.7658823443340406,0.7243309763809547
7Y3K3,2.7908613003468106,0.776844123362668,0.7638269564898538
ZK3UD,1.4689303104389038,0.7356212901945104,0.5171975860933227
DXDRP,6.382450571894793,0.8340199377656842,0.5788746744368426
41LUV,1.1161809212375764,0.7443470934178315,0.5557108781310298
WYSEU,2.637617357020543,0.7399306301036768,0.48809063633062294
XKY36,3.1543000970813506,0.7755787213649412,0.4557506416139415
LI66P,8.661268411600997,0.8197407448617726,0.6411239669187414
I4039,16.081718229749487,0.8565994287776296,0.8344359695911343
9RU8K,0.41258327936415057,0.7696769821268135,0.7496629325290721
MBN2S,10.356372732984722,0.807624807702205,0.6990105080910299
JC446,2.512514152048058,0.792275939459165,0.3974045778112248
S4KVU,4.363452471810542,0.7292353788632301,0.4730786149400947
1AR3D,5.198047068163008,0.8226110253772231,0.746368237801775
9DB53,17.36238695797823,0.8883076542689036,0.8816291506402151
PW2SP,0.7636041416618042,0.771160043146006,0.6311357717466455
Q1ZIB,0.5396051250411537,0.7736287466271559,0.7379326160045196
GWZBQ,1.1124821433041499,0.7625451862868033,0.6313174475110005
SMZVB,6.532165359621977,0.7974407079800364,0.31881254933937153
IZYHD,2.2981740137023117,0.815119841467255,0.8330167885362666
EVMBS,4.845059657727558,0.7208723191542236,0.7597047445741817
VFQR1,15.69517229176856,0.8562733170842425,0.7612978615731478
L2D1C,9.152695506192005,0.8542385430010464,0.8411865427700688
PBOB1,2.364217241471744,0.7577488258801379,0.558326512716885
PPAIO,1.5574398325328562,0.7716951211777779,0.402119768677366
FTJZ7,1.9138706383011255,0.7688920912140469,0.642190316536498
DJ5BU,6.316028230241639,0.7420460222150894,0.8373129151138143
0RHYB,10.408763369001441,0.6905468013157582,0.812995045826378
Q3A3A,7.441082743136754,0.76941055970168,0.8177547133241593
2POVK,6.001624417391226,0.83031051249487,0.6558469971788383
S7SAG,9.95236534308713,0.7704697661768607,0.8250075486520929
UDMEL,8.253960996746775,0.7440342054974542,0.8087606135088254
7EXI7,0.562114525157895,0.7662380808535663,0.6601701746385045
P1ZPF,11.914336931351901,0.8392098016847362,0.7485624606509023
OVZWZ,1.813198011445947,0.7783349074956787,0.6328597766317303
IY7FM,1.4431755090935776,0.7654370202094363,0.7480282791257036
502K9,3.1152201110240614,0.7195678866479279,0.8141636191423532
5RUQS,3.0330552217570173,0.7323496887892607,0.36160611724793884
2HF4P,3.0492073900709324,0.7863926846622429,0.6841674799792169
O68IY,2.5292504875700454,0.8097362644309649,0.8278572338434308
DMFJH,7.557149943650703,0.8531322648495081,0.7047712248673118
ABDOQ,0.5490309413743611,0.7612672874466835,0.6808938648417872
VXZNP,5.701188921884784,0.7688296777249872,0.645975241951015
W78XF,3.005411435842023,0.7993116039410841,0.8202793181450275
HC5I4,5.822025095938659,0.7034550485753011,0.47139757313627706
XPT9E,0.8663617560804507,0.7472656562885548,0.6693010525855206
LDCYF,0.5125881573579983,0.7772952499773571,0.6883790646597964
H0F56,0.8881084947268981,0.7459908390743076,0.6362829586976715
8VOI9,7.149503076523036,0.7953459281759071,0.7680611103996327
4V621,0.9876754266195172,0.7696363068841985,0.599309019858011
T5YX0,0.6854264725234197,0.7466323858666952,0.5882453806269603
T5NW2,1.6742581406773518,0.7358218604363542,0.4924043854224102
VA7XX,1.1652892332289257,0.7751624900733172,0.6101382133411352
RQNEN,4.420828966870737,0.7923067408105107,0.704319033255386
SBTZA,0.7715725880251342,0.7938112624657858,0.785514873388074
UPQJ3,2.8904934581199044,0.7834026509357404,0.8112300396996941
KTN0P,2.037382256987412,0.8432916561589139,0.8265518549775418
O0NDG,3.334419926766819,0.7682752623194339,0.8221046954128745
84I7P,2.7087567359637457,0.773072091291366,0.5455347414840677
6F23B,5.879456665386575,0.8026032325491472,0.7383140631019851
OTTAZ,2.9877493592647735,0.8209856602980925,0.660541896654347
W0ZZR,10.196798944706966,0.8072622328076237,0.5182623586456309
QJ0BP,0.7028557582542111,0.7783451131200905,0.7370578268921081
U0CHP,9.90278932547487,0.7839963142186224,0.7562788086089609
14UKF,7.55066640532582,0.8109983626940955,0.7778235390728463
UWK90,2.1032333247250303,0.750886257648284,0.5340594571772788
2U1VD,0.8777995597605952,0.7561264733117949,0.5612338999043517
SR4J8,1.860436409121008,0.7512246241854899,0.37294449511008115
R0OML,0.9183804182847679,0.7445500501075899,0.5677137238468163
XCKAB,5.141381777576548,0.7909385606316806,0.8408818075099174
EDUIU,0.7710601431801211,0.7314500104702082,0.5232850893184856
A9HCW,1.516595302970359,0.7138874794498291,0.5529966047627501
EAD2E,2.020926238430402,0.7455765548526909,0.35743610205057474
MYLSD,5.348080144468399,0.7250871972592114,0.6808235891452791
HQE1Q,2.2154624391161826,0.7942468909168651,0.5528286461901212
3QI5S,1.0704580541435664,0.7467798666929061,0.4608960216243656
BEGLQ,3.423369503548667,0.7688328266722226,0.5580690012983022
AJKUD,6.024724098402808,0.807118009643011,0.6192419815797893
TU4VW,11.59951864857234,0.7484426679898928,0.7305382001972097
H449V,0.46749782694130176,0.7658286371762417,0.6570366613428065
Q2W8L,6.230374280976417,0.8287270331312867,0.5693896380789623
VCQO8,5.013936045472635,0.7742882878788021,0.7051947311333596
NPZQW,2.8950871741798556,0.7365827873658222,0.5366717806804966
LCF03,4.697576231272229,0.7368812034456274,0.8175480278054849
BIG4F,11.031570410573796,0.8215771953356952,0.8096755886400852
HFFJD,1.8588555956348414,0.8095872026202835,0.6736821125135167
F7I4C,0.7441562977086339,0.7571209193120823,0.6101760878549648
V7LG7,1.7775998058551528,0.7451761547964662,0.462901899561309
2MZGN,0.9140422381216395,0.7644771863158506,0.6503700287479816
DCHH5,8.117439224607532,0.7760091574453114,0.7395712033142249
5QSO5,11.87793080441607,0.8245313209704688,0.7672180216300405
ZZCW3,10.515919780167266,0.8400584015491055,0.8055625369772855
HRXY4,8.535728590097726,0.7894207974091785,0.6989927262267158
137K2,2.167761035550025,0.7907897916395576,0.8371984257272472
99MGS,2.8302724776880073,0.8118018379728609,0.736240391840136
866VA,0.8878488655046499,0.7772626298540142,0.6544728384140387
D2JNN,14.097251651944635,0.8179455458708701,0.8897390095750741
NXIUQ,6.0442698980071174,0.8347395960155043,0.7021686149185878
ZOGS6,8.175345019585658,0.8126146741175759,0.6562506696409545
0PP80,0.6984216085143351,0.7469508492792661,0.6087276659161341
IC9FM,2.925119708233037,0.7720052407742587,0.5871290007256328
MXTJ5,12.028872206552988,0.7883859578942118,0.339070147405621
SETLH,0.41042700760033957,0.7586432887467693,0.6491122471683997
M4V9H,4.588976616032438,0.7813495376824933,0.7688921842163107
GBITS,3.1820158102399594,0.7250073134222108,0.7614558760422823
DUZXB,4.758769050163578,0.8027714195398195,0.7811122764486446
J77EZ,15.685796953019105,0.8732088615873426,0.8483226515471957
PD91I,8.593192911589954,0.7749609508850437,0.8058708644163021
L7UTX,8.059617106708524,0.9028836469220864,0.9003719769283739
HFPYX,4.864926723993813,0.7874029947752161,0.3762550990086544
7RNUF,1.354536959056384,0.7441788987905985,0.568098124280157
D7Z0W,3.016884335764465,0.7820889821504703,0.6658281150469686
HA1DH,3.362137733375507,0.775728628700095,0.6927406961728456
CZS3P,1.582623110749415,0.7706941155825575,0.6734217099770482
6Q6XN,8.302742271406746,0.8645274573351474,0.7985973365072844
I0PJL,9.954498205630989,0.8211965105035852,0.7239005823461642
L69GJ,1.035857968213189,0.7807213329168903,0.6397658907490885
QQEPL,0.9963247022473223,0.7694299905340393,0.6336545159724575
Z5SQE,4.854211765179634,0.7983349976437618,0.5667413153903006
DH2BI,0.6523535292255643,0.7535439319255719,0.6101067090204224
SPWXT,7.170303796804477,0.7716561730919484,0.29298130916755605
DXX0Y,0.38279485504485933,0.7610755271812852,0.7103781594405814
MATCB,2.5158292043208865,0.760919466620094,0.38328459818209976
VWHW8,1.6368130414994218,0.7787970445649681,0.6037460435441677
9P90S,1.6158015342672936,0.7861022621008837,0.7924088967306115
I038P,17.946478101483688,0.83127428782129,0.8448276246614785
HU4MV,3.6785076494255233,0.7540093178153926,0.6895637358294497
IBQOW,0.40611036950366086,0.7607467954078524,0.7200046342961712
FNCOP,0.6653381891901923,0.7613573703149303,0.6265376187679772
I6MAY,0.907850401634032,0.7348731827974356,0.4528714049293418
R929E,2.5880572433879374,0.7424270973742073,0.6197652017235782
V1KG5,2.4816674160870282,0.7128017681668397,0.752288926972448
AK0KP,1.0177688126774642,0.7310207400553557,0.5749078936182396
KBU1L,0.8777228959548201,0.7697528865769898,0.6318823819772696
MDI6B,0.714893123969136,0.7506116691654159,0.6398702241447075
YC4CP,0.8714888977130633,0.7361959479067245,0.5831036123254487
BBKI6,2.0325526869287938,0.7517217733579051,0.5314060815714596
Z4NG4,1.6540324732482512,0.7374902881720521,0.4671134401809538
MEVVC,13.560552225261455,0.7518876319229746,0.8652425120543422
E1LO2,2.0366580193324424,0.7122690894445047,0.3301723929043332
44YB2,2.316826270573463,0.7242599255728748,0.5543128877629174
9QUIK,1.816051917377014,0.715486577419258,0.7820765852777153
1XAVL,4.181246182853658,0.8527779857580603,0.8811319189359205
DC03E,1.1033946030111135,0.7323113192938739,0.7355451232389216
P87VY,3.4693774111636815,0.7361079647558328,0.2132828825779772
1WKFF,6.431337682260822,0.790405377739986,0.7649765413978392
9JUZ1,1.9807439112227694,0.7738966063609513,0.592625329167473
FPB2W,12.163317027322183,0.8302861777820106,0.5407876872870567
V6O92,2.994743043005648,0.7466571157536079,0.4428532500473902
8X46Z,1.755443732469941,0.775499350624214,0.4763464955936268
47ZAD,5.483200678657922,0.7902709501289036,0.8580968000511646
YJCSK,0.657524714810237,0.760261122225006,0.6420396029574279
07ZMN,1.8322547500613597,0.7569493708498545,0.8078156455782061
EOVH6,0.9337217916952211,0.731221464820722,0.6510247114547403
093RS,4.957508927555818,0.7549673996803288,0.6337794986669871
ALBRS,9.498846804902827,0.8454496876639063,0.772268097061853
88YX0,1.920693689141599,0.747155101294446,0.6331957508537879
LZV7U,5.905746077322804,0.7617105407832223,0.5763521336935837
CK94B,9.08644787667339,0.8471718928991081,0.6605485029612559
JCGCF,8.9667656231188,0.8548974959587831,0.7514076729521517
F3WE2,1.1041176430876791,0.7686196304030104,0.7731856990768301
EHU5O,1.5663517958957065,0.7168452575210349,0.5370456821222601
2RJSL,2.5071140479206453,0.7668798431765507,0.5327800732014547
BZHXL,12.196783398578173,0.8921155484848666,0.7785945381048143
M33U9,7.764029599965255,0.7631694879736117,0.4750270088274818
U0PNS,1.213077864851298,0.7421454692242951,0.6309808191100805
QK0L8,6.178769194006188,0.802893222545429,0.7034342517683067
CQN7B,1.487435082783842,0.7453516357720269,0.6239446015603256
BO46G,10.462268616628332,0.8048148514669692,0.7860722447829397
PR941,11.322677876683438,0.7563394683888496,0.7224717100829166
CUML2,0.7224747612689175,0.7591221179215597,0.6424386667250465
11VEI,12.079900904333904,0.8192461821521106,0.895025427376396
WMN0F,1.9788005958548356,0.7243824760956404,0.46504195401246184
NNHLG,3.2311131404252067,0.7486198109794532,0.4357675802214998
YV8YX,8.539408972464713,0.7902813845277364,0.6980328337165493
LHJWI,9.927459306945682,0.6941604031099866,0.6171841733819042
6IB5H,12.271350397257079,0.7162734686486875,0.8150206840859122
BKOK3,1.218835491026979,0.7713754010511547,0.5353868755696494
ZQHO2,4.680879154268158,0.8171869579109887,0.7922883226487194
GITPG,1.8532457589568414,0.793115375124062,0.5760972411178684
YW1NP,2.9180274068163854,0.8256234114687175,0.8108557422784737
JFUPA,3.72748548460855,0.8094476192426534,0.8212063203550944
DJW6C,0.5147149359512757,0.7681850920739555,0.7660295289567569
1YEJJ,13.719057863839177,0.7797311507432931,0.8100577289802513
JRDKW,2.0848121058920985,0.7843597406838267,0.6781754935399276
PY2PD,2.3482333304919085,0.7228039132449733,0.3689756332384052
LWAK3,0.9849899947732234,0.7597536744572357,0.6461043634742857
E7XBI,0.7130519738232812,0.7437261595681768,0.6786172299909886
THPQC,13.668681478784118,0.7983331013078949,0.4068659732546218
2YLIX,14.856541722695571,0.8579441114347017,0.837667167545153
PVNK7,6.037947545452553,0.781108241980758,0.797643751246946
5GXMW,2.4981395824918833,0.7750803066035271,0.6328385941513988
