participant_id,lambd,beta
JZXE2,0.8325477081487649,6.1317655651614205
U3HYL,0.7622032773323038,4.596500985951939
6DPYL,0.6754363789564747,1.200523316938863
4NDHY,0.8423191218249564,8.333427059629377
B466E,0.6740989367758312,0.7712285128389381
E6C05,0.6678711925507482,1.8084996389688248
F1277,0.6455043315490576,1.4023412022862367
XHM1L,0.7372095569036965,3.184135866504694
L89XW,0.6762576688932157,0.9943720621228341
ZJAY6,0.6110980689967416,2.193679621960406
OP3DU,0.6785177978196316,1.5342218574161277
DKX7L,0.6753718469791103,1.031701546300607
5L2YO,0.6781982427499609,1.0525573894523381
TCT2Q,0.6636282589085883,1.834531823546919
0GG61,0.6732291935612874,1.9056586610121304
66ATA,0.6398789653859026,1.4588877085147038
2KEQY,0.6838368300700761,1.533786654746803
H7XCH,0.7019485341466036,1.021568960297579
CVQMQ,0.7752211253220171,4.75998378390044
D2297,0.667425004102274,3.003117818420912
D1A08,0.6485866022657847,0.7511282169688158
1SRXZ,0.7267341567415344,3.9902044098977187
1GDGT,0.6400140257797237,4.703302606708879
QTUE2,0.6552128283575203,1.3262717503749928
8TCMM,0.6895871700028307,1.0708042857293985
9DY7I,0.6562079666736438,1.4117599931023554
K3F0B,0.6539771451777684,0.842314801911935
35TKM,0.6971556469368803,2.7381239512575033
HKS1J,0.626081768013133,5.453463203257398
O3P4O,0.7679347107333618,4.504774364434058
I6X0O,0.6608306355424782,1.5820599837885863
R7EQD,0.6576788167445913,1.6472337424386283
M8ZK6,0.8144160380188543,5.267654930382118
J813K,0.7176222032051216,1.0769548180860675
KOAT7,0.6912738718834477,0.8706638655325669
7Y3K3,0.6991667412919693,2.4233143177807293
ZK3UD,0.6578843146071367,1.2605753523961785
DXDRP,0.7083322068093156,2.7721263444289423
41LUV,0.6578842175863223,1.0259319546311365
WYSEU,0.6477184459271417,1.7356337405924258
XKY36,0.6654350489906325,1.6328478040917038
LI66P,0.720322648460628,4.133322457728819
I4039,0.8148659044941797,6.39997144006543
9RU8K,0.705003318853761,0.7976834460300244
MBN2S,0.6942787015847822,3.837173185540775
JC446,0.6959444415668414,1.5161700013389137
S4KVU,0.6286854739560346,3.0071635492014757
1AR3D,0.7323283158526359,3.555135443093176
9DB53,0.8432765385369242,7.906231170819299
PW2SP,0.7036417570335403,0.8955919769464802
Q1ZIB,0.7128004442108107,0.9104456022228967
GWZBQ,0.6769236903916307,1.1508720499943506
SMZVB,0.6287380866372474,2.8656999997422576
IZYHD,0.7475799595691187,2.266418742207213
EVMBS,0.6840066809567038,3.4135859276785023
VFQR1,0.7951186990980215,4.456665406126468
L2D1C,0.8145226521460472,5.88581746039198
PBOB1,0.6485173152538617,1.7521182723611284
PPAIO,0.6815692243809092,0.9033860683716546
FTJZ7,0.6724842007934533,1.5639153927501912
DJ5BU,0.711688211684041,5.27889612847181
0RHYB,0.6785824169728079,6.906506243567961
Q3A3A,0.709237869361356,5.941523705805987
2POVK,0.7369420497751911,2.6576993540268488
S7SAG,0.7050325253777276,5.695610055652378
UDMEL,0.6759099321407223,5.728309043614156
7EXI7,0.69312999679981,0.7901883534308975
P1ZPF,0.7707367101209421,4.792577587880717
OVZWZ,0.6957115698764638,1.6380737663324236
IY7FM,0.6874688015898621,1.6055838756603125
502K9,0.6712983709559083,2.684544865931527
5RUQS,0.6378463735914885,1.5437877476819395
2HF4P,0.6757722496586076,2.3101321457071546
O68IY,0.7377506032245109,2.497020174508462
DMFJH,0.7476392583604489,4.259393018923253
